Rank,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Jared Nickens,Maryland,2014-18,,136,12,2219,224,598,0.375,179,479,0.374,44,59,0.746,39,190,49,29,21,59,134,671,,1.4,0.4,4.9,,0.524,5.1
87,Justin Bibbs,Virginia Tech,2014-18,,128,117,4049,523,1160,0.451,254,599,0.424,157,221,0.71,40,372,189,54,9,168,235,1457,,2.9,1.5,11.4,,0.56,8.8
88,Joe Burton,"Oklahoma State, Valparaiso",2014-18,,49,10,660,91,202,0.45,43,115,0.374,47,72,0.653,20,82,27,8,8,37,56,272,,1.7,0.6,5.6,,0.557,1.8
89,Trayvon Reed,"Auburn, Texas Southern",2014-19,,75,36,1541,235,358,0.656,6,21,0.286,121,197,0.614,131,477,29,21,140,96,188,597,,6.4,0.4,8,,0.665,5.5
90,Tadric Jackson,Georgia Tech,2014-18,,131,25,2642,433,1071,0.404,102,376,0.271,168,283,0.594,60,279,200,70,19,173,216,1136,,2.1,1.5,8.7,,0.452,4.3
T90,Vic Law,Northwestern,2014-19,,125,112,3790,481,1198,0.402,193,524,0.368,287,371,0.774,138,710,254,119,77,215,332,1442,,5.7,2,11.5,,0.482,11.6
92,Domantas Sabonis,Gonzaga,2014-16,,74,32,1971,384,608,0.632,5,14,0.357,229,314,0.729,192,694,97,39,43,151,219,1002,,9.4,1.3,13.5,,0.636,12.3
93,Namon Wright,"Missouri, Colorado",2014-19,,105,58,2352,295,729,0.405,121,348,0.348,179,239,0.749,53,373,105,52,21,161,189,890,,3.6,1,8.5,,0.488,4.2
94,Makinde London,"Xavier, Chattanooga",2015-18,,77,24,1325,208,508,0.409,74,222,0.333,114,162,0.704,70,326,81,52,45,137,158,604,,4.2,1.1,7.8,,0.482,2.9
95,Sviatoslav Mykhailiuk,Kansas,2014-18,,136,70,3070,422,986,0.428,237,579,0.409,100,134,0.746,93,340,202,97,27,146,227,1181,,2.5,1.5,8.7,,0.548,9.6
96,Michal Cekovsky,Maryland,2014-18,,104,25,1325,190,306,0.621,0,2,0,74,142,0.521,93,263,27,19,78,76,218,454,,2.5,0.3,4.4,,0.621,4.2
T96,Devin Mitchell,"Alabama, Georgia State",2014-19,,109,59,2179,312,728,0.429,218,525,0.415,76,114,0.667,23,172,129,51,14,95,182,918,,1.6,1.2,8.4,,0.578,6.6
96,Mikal Bridges,Villanova,2015-18,,116,73,3171,458,873,0.525,171,428,0.4,224,265,0.845,131,504,183,163,101,124,257,1311,,4.3,1.6,11.3,,0.623,17.2
99,Detrick Mostella,"Tennessee, Jacksonville State",2014-19,,107,17,1934,260,730,0.356,137,441,0.311,133,175,0.76,39,223,118,45,16,134,175,790,,2.1,1.1,7.4,,0.45,3.2
100,Malik Marquetti,"USC, Louisiana",2014-19,,106,56,2140,212,520,0.408,105,269,0.39,102,133,0.767,97,293,128,75,20,102,165,631,,2.8,1.2,6,,0.509,5.4
