Rimfluence Rank,year,Player name,team,height_inches,class,possessions,Opp Net Rating,O Rimfluence,D Rimfluence,Rimfluence
658,2024,Shane Dezonie,Temple,77,So,3551.0,2.1573999999999955,-0.9427929582964042,8.23059416754562,7.287801209249216
659,2024,Connor Withers,Bryant,79,Sr,5622.0,-0.0973999999999932,2.3700804744651527,4.912706831122569,7.282787305587721
660,2024,AJ Cajuste,Stephen F. Austin,73,Sr,3750.0,-2.068400000000011,6.287657543099749,0.9888148171921922,7.27647236029194
661,2024,Myles Rice,Washington State,75,Fr,3386.0,7.696799999999996,3.081098298784293,4.178695669453473,7.259793968237767
662,2024,Trevin Knell,BYU,77,Sr,2474.0,7.926500000000004,3.6554835609527543,3.591946637016036,7.247430197968791
663,2024,Donovan Clay,Missouri State,80,Sr,6118.0,1.7483000000000004,4.962553879935491,2.268420431569358,7.230974311504849
664,2024,Donovan Atwell,UNC Greensboro,77,So,5929.0,-1.914900000000003,0.1973242363636653,7.027228869499398,7.224553105863063
665,2024,Kareem Thompson,Oral Roberts,77,Sr,7336.0,-1.4960999999999984,-4.007790379385222,11.227196396307331,7.219406016922111
666,2024,Khalif Battle,Arkansas,77,Sr,4896.0,8.921400000000006,3.640634201305417,3.5584345967102173,7.1990687980156345
667,2024,CJ Booker,UT Rio Grande Valley,69,Fr,4490.0,1.1045000000000016,-2.2970523286200653,9.492851487382415,7.19579915876235
668,2024,Shawn Jones Jr.,Mississippi State,77,So,4706.0,10.253500000000004,2.907455765930453,4.276181161945342,7.183636927875795
669,2024,Chris Rubayo,Lafayette,81,Jr,2104.0,-6.371600000000001,-1.421253205234186,8.579567846099279,7.158314640865092
670,2024,Julius Rollins,Kent State,79,So,1819.0,-4.137999999999991,1.573393695048965,5.541607187858468,7.115000882907434
671,2024,Brendan Wenzel,Wyoming,80,Sr,6819.0,5.842100000000002,5.6179091856636125,1.4827948196784435,7.100704005342056
672,2024,MJ Collins Jr.,Virginia Tech,76,So,2695.0,9.110799999999998,5.178308257705471,1.919831698860742,7.098139956566213
673,2024,Nick Blake,Pacific,78,Sr,5411.0,3.269999999999996,4.772965317340137,2.315957204257485,7.088922521597622
674,2024,Tyson Degenhart,Boise State,80,Jr,2959.0,9.3519,0.5815627109742718,6.480525351255357,7.062088062229629
675,2024,Jamie Kaiser Jr.,Maryland,78,Fr,3773.0,8.06649999999999,1.7352249887395534,5.322824208587487,7.0580491973270405
676,2024,Ayinde Hikim,UMass Lowell,71,Sr,7372.0,-5.007199999999997,7.829535085309168,-0.7816291318284754,7.047905953480692
677,2024,Anderson Mirambeaux,Miami (OH),80,Sr,2855.0,-4.681999999999988,5.6369190110898,1.410096956727859,7.047015967817659
678,2024,Bruce Thornton,Ohio State,74,So,3455.0,9.369500000000002,0.8017568706883083,6.242000383232481,7.0437572539207896
679,2024,Amari Stroud,Long Beach State,82,Sr,1533.0,0.7956999999999965,3.4410063008064755,3.5844414506227413,7.025447751429217
680,2024,Brenden Tucker,Georgia State,75,Sr,2741.0,-0.8432000000000102,4.509671748452801,2.5135803793320695,7.02325212778487
681,2024,Jacob Groves,Virginia,81,Sr,1889.0,8.512199999999993,2.930079911799351,4.0843774857647555,7.014457397564106
682,2024,Isaiah Hill,Fresno State,72,Sr,6598.0,3.856200000000001,3.24514222912823,3.7453247566887033,6.9904669858169335
683,2024,Myles Che,Chattanooga,74,Fr,3452.0,-3.8292999999999897,4.196261566378896,2.7913694022495106,6.987630968628406
684,2024,Ryan Conwell,Indiana State,75,So,3978.0,3.281800000000004,1.5872396029359743,5.398080004962157,6.9853196078981314
685,2024,Owen Dease,Texas A&M-Corpus Christi,80,So,2231.0,-5.195700000000002,-2.7651367494886525,9.74981974874584,6.984682999257188
686,2024,Jalen Reynolds,Southern,78,Sr,2326.0,-10.888099999999994,4.273312541784826,2.7030910379786945,6.97640357976352
687,2024,Dale Bonner,Ohio State,74,Sr,2134.0,7.741399999999999,4.3763591986213415,2.58070657640568,6.957065775027022
