player_name,team,year,unassisted_dunks_100,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,unassisted_points_100
Andrew Houts,Chattanooga,2014,0.000000,7.908620,0.000000,0.000000,15.817240
Devonte Smith,Little Rock,2014,0.000000,2.343783,0.206804,0.482544,6.548805
Tim Singleton,Richmond,2014,0.000000,0.000000,0.000000,0.000000,0.000000
John Dawson,Marquette,2014,0.000000,0.488500,1.465500,0.000000,3.908000
Deonte Burton,Marquette,2014,0.148952,3.128002,2.085335,0.148952,10.873532
Walter Pitchford,Nebraska,2014,0.163744,1.064339,1.555572,0.163744,5.731056
Canyon Barry,Charleston,2014,0.117534,2.350675,1.410405,0.352601,8.579964
Alec Peters,Valparaiso,2014,0.063498,2.285938,1.015973,0.317491,7.556296
David Chadwick,Valparaiso,2014,0.000000,0.000000,1.723525,0.000000,3.447050
Lexus Williams,Valparaiso,2014,0.082777,1.821084,1.407201,0.496659,7.946548
Charles Burley,Delaware St.,2014,0.000000,0.331309,0.496963,0.000000,1.656543
Larry Haley,Delaware St.,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Jason Owens,Delaware St.,2014,0.000000,1.647078,0.274513,0.000000,3.843182
Josh Heath,South Florida,2014,0.000000,1.227209,0.876578,0.000000,4.207573
Corey Allen Jr,South Florida,2014,0.242355,2.302372,0.848242,0.363532,7.391825
John Egbunu,South Florida,2014,0.828739,2.410877,0.075340,0.000000,4.972433
Armani Flannigan,North Texas,2014,0.594858,2.181146,0.594858,0.000000,5.552008
Greg Wesley,North Texas,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Shaunessy Smith,Alcorn St.,2014,0.000000,0.731933,1.097900,0.365967,4.757565
Nino Jackson,Loyola Marymount,2014,0.000000,1.394837,1.394837,0.000000,5.579349
Doug Brooks,VCU,2014,0.000000,0.530287,1.060574,0.530287,4.772585
Terrance Shannon,VCU,2014,0.800769,2.669230,0.266923,0.000000,5.872306
Denarius O'Dell,Alcorn St.,2014,0.000000,18.298300,0.000000,0.000000,36.596600
Trey Washington III,Wyoming,2014,0.000000,0.533500,0.800250,0.266750,3.467750
Victor Bermudez,Texas St.,2014,0.000000,0.000000,0.345269,0.345269,1.726343
Tyler Gaskins,Saint Peter's,2014,0.000000,1.614011,2.421017,0.322802,9.038464
Olivier-Paul Betu,UC Davis,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Avery Johnson,UC Davis,2014,0.083666,0.836658,0.418329,0.167332,3.011970
Iggy Nujic,UC Davis,2014,0.000000,1.249797,1.124817,0.374939,5.874045
Justin McKie,South Carolina,2014,0.000000,0.000000,0.742699,0.000000,1.485397
Demetrius Henry,South Carolina,2014,0.487965,1.073523,1.659081,0.000000,5.465208
Khyan Rayner,Princeton,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Steven Cook,Princeton,2014,0.000000,1.918091,0.523116,0.000000,4.882414
Duane Notice,South Carolina,2014,0.000000,2.089950,2.229280,0.208995,9.265445
Cam Miller,Lipscomb,2014,0.000000,0.575342,0.000000,0.000000,1.150683
Sindarius Thornwell,South Carolina,2014,0.000000,1.598810,3.138406,0.414506,10.717951
Jaylen Shaw,South Carolina,2014,0.000000,0.440394,0.880788,0.000000,2.642365
Ladarrien Williams,Abilene Christian,2014,0.000000,2.638532,2.418655,0.659633,12.093273
Mario Dunn,Montana,2014,0.000000,2.362142,0.472428,0.094486,5.952597
Riley Bradshaw,Montana,2014,0.000000,0.520972,0.000000,0.000000,1.041943
Jack Lopez,Montana,2014,0.000000,0.000000,0.737479,0.000000,1.474958
Chris Sarbaugh,San Diego,2014,0.000000,0.254038,2.032301,0.000000,4.572677
Chris Jones,Louisville,2014,0.000000,2.028113,2.501340,0.473226,10.478585
Brandon Gfeller,Montana,2014,0.000000,0.483283,0.241642,0.483283,2.899700
Vince Hunter,UTEP,2014,0.590812,3.914130,0.886218,0.000000,9.600695
Julian Edmonson,Abilene Christian,2014,0.000000,3.006396,2.856077,1.052239,14.881662
Ryden Hines,Iona,2014,0.000000,1.243374,0.414458,0.000000,3.315664
Jeremiah Williams,Canisius,2014,0.000000,0.980402,0.980402,0.000000,3.921609
Tyler Washington,Northwestern St.,2014,0.000000,0.412039,0.618058,0.618058,3.914366
Reveal Chukwujekwu,Houston Christian,2014,0.000000,1.653093,0.826546,0.000000,4.959279
Faronte Drakeford,Central Connecticut,2014,0.000000,2.555803,2.117665,0.000000,9.346936
Steven Spieth,Brown,2014,0.000000,1.145340,0.509040,0.000000,3.308760
Isiah Umipig,Seattle,2014,0.000000,1.848594,2.095073,1.848594,13.433113
Josh Fuller,Weber St.,2014,0.000000,2.114535,0.000000,0.000000,4.229070
Richaud Gittens,Weber St.,2014,0.471994,2.548765,0.943987,0.000000,6.985505
Norman Hobbie,Brown,2014,0.000000,0.153596,0.000000,0.307191,1.228766
Winfield Willis,NJIT,2014,0.000000,2.483993,0.620998,0.206999,6.830980
Brett Bailey,San Diego,2014,0.000000,1.324230,0.588547,0.147137,4.266963
Wes Washpun,Northern Iowa,2014,0.203212,2.777235,1.083799,0.067737,7.925279
Von Washington,Western Michigan,2014,0.000000,3.435646,0.000000,1.145215,10.306938
